image_id,target_description,category_scene_acceptable_indices,partial_match_indices,count_position_layout,blind_notes,C-selected,Mean-selected,Oracle-cosine,Oracle-identification,pool_has_category_scene_match,C_hits_category_scene_match,Mean_hits_category_scene_match,Uniform_category_scene_rate,pool_has_match_but_C_misses,E-selected,E_hits_category_scene_match,E_recovers_C_miss,E_loses_C_hit,E_differs_C
33256,开阔场地上多人放风筝,,1;2,人物与树线布局未保留,1有风筝和地面但无人且背景变山；2仅天空风筝；其余混入飞机,1,0,1,1,False,False,False,0.0,False,4,False,False,False,True
34998,俯视棒球比赛投打场景,0;2;4;6;7,5,投手捕手裁判与打者的人数位置普遍缺失,0;2;4;6;7保留棒球场和运动员，4有投打关系；1和3变风帆风筝,7,3,7,4,True,True,False,0.625,False,0,True,False,False,True
37899,两只斑马低头近景,0;2;3;4;5;7,,多数斑马数量和裁切不符，7低头姿势相近,1长颈鹿、6大象；其余斑马类别正确，7更接近低头主题,7,4,4,0,True,True,True,0.75,False,7,True,False,False,False
38887,白盘中的奶油蛋糕甜点,,,奶油和甜点摆盘缺失,全为咸食或披萨蔬菜面包；只保留食物盘子主题,1,0,4,7,False,False,False,0.0,False,1,False,False,False,False
41120,林间铁轨上人物与铁路道口标志,,,铁轨和道口标志未恢复,全为城市道路汽车，1有人但并非铁路场景,3,3,3,3,False,False,False,0.0,False,0,False,False,False,True
42302,枝叶红果中遮挡的黑色动物,,,遮挡主体及红果枝叶构图全部缺失,GT动物具体物种难辨，不强行定名；候选全为开阔草地鸟或长颈鹿斑马,0,0,1,1,False,False,False,0.0,False,7,False,False,False,True
43211,海滩上持冲浪板的单人,0;1;3,2,3姿势近似但呈画框图片；0和1海岸线与板方向不同,0;1;3有海滩和持板人物；4卧室，5-7滑雪,5,2,1,1,True,False,False,0.375,True,5,False,False,False,False
48911,街边长凳上读书的男子,,3;6,书本、长凳、男子身份与动作均未恢复,多为室内女子；3和6有街边坐姿但不读书,5,5,5,5,False,False,False,0.0,False,6,False,False,False,True
51865,花园门廊白椅与盆栽,,,门廊和户外环境缺失,0-3厨房；4-7浴室；没有户外椅子场景,2,2,3,3,False,False,False,0.0,False,1,False,False,False,True
54054,室内扶手椅上的戴帽长发女子,,5,帽子、长发、扶手椅和暗色室内均未准确恢复,全为短发男性坐姿；5是室内但人物不符,7,7,6,5,False,False,False,0.0,False,6,False,False,False,True
5683,暖光下大象侧后方近景,7,,7为正面而非侧后方，象牙和暖色缺失,7唯一明确大象；其余牛鸟或混合动物,7,7,7,6,True,True,True,0.125,False,0,False,False,True,True
56963,白盒上多个巧克力甜甜圈,,,所有食物和盒子结构都缺失,八张均为海浪冲浪或水上人物；选择无法恢复甜甜圈,5,5,5,3,False,False,False,0.0,False,5,False,False,False,False
58157,戴眼镜人物脸部被宠物遮挡近景,,5,宠物遮挡脸部关系未恢复,5有眼镜女子和小动物但布局不同；其余以宠物为主且无人物,4,6,5,0,False,False,False,0.0,False,4,False,False,False,False
59101,围栏前长颈鹿脸部近景及后方同类,1,,1有长颈鹿和围栏但距离更远且缺后方同类,0;2;4为狗，3;5-7为牛或混合动物,1,1,1,6,True,True,True,0.125,False,5,False,False,True,True
62587,城市路边多辆公交车,1;3;5;7,,公交车数量、近侧裁切和排列不同,1;3;5;7有公交；0;2;4;6变飞机，7有后方其他车辆,5,5,5,1,True,True,True,0.5,False,7,True,False,False,True
64050,晴天下多头黑白牛及右侧大牛近景,0;1;2;3;4;5;6;7,,牛的毛色、数量与右大左小布局均改变,全保留户外牛主题，但没有忠实恢复黑白牛近景,1,6,6,0,True,True,True,1.0,False,5,True,False,False,True
65690,路边长凳上弯身的人和背包,0;3;4;5,6,背包和弯身动作普遍缺失；3坐姿方向较接近,0;3;4;5有长凳人物；1;2;7为飞机；6为轮椅人物,3,3,4,4,True,True,True,0.5,False,3,True,False,False,False
67261,草地上成排STOP标志,,2;6,成排路牌与草地布局缺失，文字多错误,2和6有局部红路牌但主体变飞机船；其他为展示物车辆时钟,3,3,3,7,False,False,False,0.0,False,7,False,False,False,True
68553,多人围着厨房微波炉观看操作,,1;2;3;5,微波炉指向动作与背面人物布局未恢复,多为厨房人物但表情动作变形，3有烤箱；4转室内拍照,7,7,7,3,False,False,False,0.0,False,3,False,False,False,True
71264,桌面电脑屏幕与饮料食物,1;2;4;6;7,0;3;5,显示器类型、杯盘和近景遮挡关系不同,1;2;4;6;7同时有电脑与桌面饮食；0;3缺食物，5仅食物无电脑,4,4,4,2,True,True,True,0.625,False,2,True,False,False,True
