case,output,object,action_relation,scene,count_layout,best,notes
F011,A,correct,correct,wrong,correct,B,领带眼镜男子半身对应；墨镜西装变透明眼镜背心且砖墙变人群
F011,B,correct,correct,partial,correct,B,西装领带男子构图对应；墨镜变透明眼镜且砖墙变海报墙
F012,A,partial,wrong,partial,partial,B,儿童拿面包变为拿香蕉贴耳；双手胸前持食物关系缺失
F012,B,correct,partial,partial,partial,B,儿童双手拿圆面包保留；视线侧转且店内背景变纯色墙
F013,A,correct,correct,partial,partial,C,近处大象方向相似但身后多出象；灌木变草坪
F013,B,correct,partial,partial,wrong,C,单象改成数只挤在一起；侧向全身关系改变
F013,C,correct,correct,partial,correct,C,单象向右垂鼻对应；象牙不明显且低矮灌木消失
F014,A,correct,correct,correct,partial,B,雪坡多人滑雪保留；近处横排人群变稀疏两人
F014,B,correct,correct,correct,partial,B,多人滑雪分布较接近；远景增加雪山且坡向不同
F014,C,correct,correct,correct,partial,B,滑雪者集中右侧并向远处延伸；原近景横排缺失
F015,A,correct,partial,partial,wrong,A,飞盘运动保留但多出人物及飞盘；低机位近景变球场全身
F015,B,partial,wrong,partial,partial,A,飞盘变网球拍；人物改侧身击球且缺树下仰视关系
F016,A,wrong,wrong,wrong,wrong,all_wrong,黄油包装和剪刀变成手持手机及面包
F016,B,partial,wrong,partial,wrong,all_wrong,改为装饰面包与手操作工具；无原黄油包装和剪刀布局
F016,C,partial,wrong,partial,wrong,all_wrong,餐具水果盘替代黄油与剪刀；仅保留台面俯视
F017,A,correct,partial,wrong,wrong,all_wrong,拥挤车厢乘客变户外两人坐椅；通道和扶杆缺失
F017,B,partial,wrong,wrong,wrong,all_wrong,地铁乘客变街边人群与自行车玩偶
F018,A,wrong,wrong,wrong,wrong,all_wrong,汽车座椅行李箱变房间内电脑架
F018,B,wrong,wrong,wrong,wrong,all_wrong,车内行李箱被双马桶和电视替代
F019,A,correct,wrong,wrong,partial,all_wrong,客机朝右但变空中飞行；机场跑道及起落架地面关系消失
F019,B,correct,wrong,wrong,partial,all_wrong,地面客机变云上飞行；机头朝左且尾部样式改变
F019,C,correct,wrong,wrong,partial,all_wrong,客机在空中放轮而非停在跑道；朝向相反
F020,A,correct,correct,correct,partial,A,雪地持杖人物对应；缺墨镜及近旁器材和棚子
F021,A,partial,partial,partial,wrong,A,天空风筝与人保留；大黄鸭和长椅消失且草地被裁掉
F021,B,partial,partial,wrong,wrong,A,少量风筝和人物在公路；缺大型黄鸭与草坪长椅
F022,A,correct,correct,correct,partial,A,马桶在卫生间对应；增加浴缸水池且狭窄隔间变宽
F022,B,partial,wrong,partial,wrong,A,马桶缺失；改成带橱柜水池与浴缸的房间
F023,A,wrong,wrong,wrong,partial,all_wrong,炉灶橱柜变淋浴门与洗手台
F023,B,wrong,wrong,wrong,wrong,all_wrong,厨房灶台变成白色浴缸及扶手
F023,C,wrong,wrong,wrong,wrong,all_wrong,炉灶近景变狭小马桶隔间
F024,A,partial,wrong,partial,wrong,all_wrong,杂乱卧室单人站立变多人坐在整洁客厅
F024,B,partial,wrong,partial,wrong,all_wrong,床与衣柜缺失；改为客厅多人和地上狗
F025,A,wrong,wrong,wrong,wrong,all_wrong,床垫店外立面变成室内餐桌椅；床垫和招牌缺失
F025,B,wrong,wrong,wrong,wrong,all_wrong,床垫商店被路边黄色公交车替代
F026,A,partial,partial,partial,partial,all_wrong,手持零食袋变成杯装条状点心与剪刀；袋装甜甜圈缺失
F026,B,partial,partial,partial,partial,all_wrong,手持包装甜甜圈变单个奶油装饰点心；黄色包装缺失
F026,C,wrong,wrong,partial,wrong,all_wrong,手持零食袋变篮子内剥皮香蕉
F027,A,partial,wrong,wrong,partial,B,小型螺旋桨飞机变大型客机停地面；朝向反转
F027,B,partial,correct,correct,correct,B,向右空中飞机保留；黄色高翼螺旋桨机变喷气客机
F028,A,wrong,wrong,wrong,partial,all_wrong,厨房灶台和桌面变卫生间镜面洗手柜
F028,B,wrong,wrong,wrong,wrong,all_wrong,厨房被洗手池和坐浴盆替代；餐桌炉灶缺失
F028,C,wrong,wrong,wrong,partial,all_wrong,改成长镜洗手台和马桶；无炉灶抽油烟机
F029,A,partial,partial,partial,partial,A;B,木质厨房保留；开放搁板变吊柜并增加吧台高椅
F029,B,partial,partial,partial,partial,A;B,木柜与厨具对应；旧式木墙搁板变现代台面电器
F029,C,partial,partial,partial,partial,A;B,木柜厨房对应；前景桌变大理石岛台花盆且搁板缺失
F030,A,wrong,wrong,wrong,wrong,all_wrong,椅上猫和彩旗变电视与马桶
F030,B,wrong,wrong,wrong,wrong,all_wrong,猫椅和彩旗缺失；变卫生间电脑桌
F031,A,partial,wrong,correct,wrong,all_wrong,厨房场景尚在但主体冰箱及绿色帘子缺失
F031,B,wrong,wrong,wrong,wrong,all_wrong,冰箱近景变浴室洗手池镜子
F032,A,wrong,wrong,partial,wrong,all_wrong,雪中信号灯道路变积水港道与船；信号灯缺失
F032,B,partial,partial,partial,partial,all_wrong,街口信号灯保留少量；雪路变晴天公交街景
F033,A,partial,wrong,partial,wrong,all_wrong,密集毛绒玩具变两只玩具熊夹着真狗；黑色架子缺失
F033,B,partial,wrong,partial,wrong,all_wrong,成堆玩偶变一熊两只狗在沙发；数量显著减少
F034,A,wrong,wrong,wrong,wrong,all_wrong,儿童持棒球手套变手拿刀切绿色植物
F034,B,partial,wrong,wrong,partial,all_wrong,持手套儿童变婴儿头与香蕉状物；球和手套缺失
F034,C,partial,wrong,partial,partial,all_wrong,儿童脸旁手套棒球变香蕉；户外变室内靠垫
F035,A,wrong,wrong,wrong,wrong,all_wrong,牛和旁边人腿变枝叶上的红鸟
F035,B,wrong,wrong,wrong,wrong,all_wrong,户外牛变室内台沿小猫；旁边人物消失
F036,A,partial,wrong,partial,wrong,all_wrong,两名骑摩托者变三名步行者；摩托车完全缺失
F036,B,wrong,wrong,partial,wrong,all_wrong,公路摩托车变铁轨列车；骑手缺失
F036,C,partial,wrong,partial,wrong,all_wrong,两名骑手变单人站铁轨旁与蒸汽火车
F037,A,correct,partial,correct,partial,A,户外聚餐举杯相近；两人变三人且桌上酒瓶阵列缺失
F037,B,correct,partial,correct,partial,A,两人户外拿食物饮料；相对交谈变面对镜头且酒瓶桌消失
F038,A,correct,partial,partial,wrong,C,棒球场保留但儿童待击变两名成人运动员；大型看台替代草地
F038,B,correct,partial,partial,wrong,C,棒球人物增加并改投掷姿态；缺儿童持棒待击近景
F038,C,correct,partial,correct,partial,C,户外棒球击球位置对应；成人和捕手替代单个儿童主体
F039,A,partial,wrong,partial,partial,all_wrong,棒球投手变红衣跑跳人物；手套与投球动作缺失
F039,B,partial,wrong,partial,partial,all_wrong,投手变两名持拍行走者；投手丘与后方裁判关系缺失
F039,C,partial,wrong,partial,partial,all_wrong,棒球投掷变持网球拍跑动；近处投手丘不见
F040,A,correct,partial,partial,partial,B,成人儿童围桌保留；生日蛋糕帽子气球缺失且变普通餐盘
F040,B,correct,partial,partial,partial,B,儿童成人与生日蛋糕对应；抱坐关系及气球派对帽缺失
F041,A,partial,wrong,wrong,wrong,all_wrong,树前长尾菱形风筝变海面风筝冲浪
F041,B,partial,wrong,wrong,wrong,all_wrong,运动场树前风筝变河岸低空弧形物；球场人物缺失
F041,C,partial,wrong,wrong,wrong,all_wrong,单个长尾风筝变水面多只牵引风筝与冲浪者
F042,A,correct,correct,correct,partial,A,蔬菜披萨保留；番茄厚片变黄瓜叶菜且取景更远
F042,B,wrong,wrong,partial,partial,A,蔬菜披萨变夹层三明治和黄色花状配料
F043,A,partial,wrong,partial,wrong,all_wrong,中式字画时钟陈设变咖啡机水壶与黑板
F043,B,wrong,wrong,partial,wrong,all_wrong,中式钟表餐具和书法变电脑书桌
F043,C,wrong,wrong,partial,wrong,all_wrong,传统陈设变笔记本电脑杂物台；时钟书法缺失
F044,A,partial,partial,partial,partial,all_wrong,花瓶内白玫瑰变宽叶植株；增加香蕉饮品与碗
F044,B,wrong,partial,partial,wrong,all_wrong,玫瑰枝变杯中彩色餐具；背景和面包占据画面
F044,C,partial,partial,partial,partial,all_wrong,细枝白花变粗茎果实状插物；黑瓶变蓝绿瓶且台面杂乱
F045,A,wrong,partial,partial,correct,all_wrong,北极熊变棕色长耳有蹄动物；水泥围栏变户外草木
F045,B,wrong,partial,partial,correct,all_wrong,北极熊变棕色长耳动物；仅保留向前迈步
F045,C,wrong,partial,partial,partial,all_wrong,白熊变斑马；蓝墙水泥地变泥地
F046,A,correct,partial,correct,wrong,B,单红STOP牌变上下两块绿牌；街名牌和涂鸦缺失
F046,B,correct,partial,correct,partial,B,单个八角STOP牌对应；缺街名牌与WAR涂鸦
F046,C,correct,partial,correct,partial,B,红牌保留但STOP重复两行；双杆替代单杆且缺街名
F047,A,partial,wrong,wrong,partial,all_wrong,蹲地摆风筝儿童变站板张臂持环；草地消失
F047,B,partial,wrong,partial,wrong,all_wrong,蹲姿玩风筝变站立拿球拍；增加下方儿童
F048,A,correct,partial,correct,partial,A,转角厨房保留；木柜变白柜且大窗炉灶缺失
F048,B,partial,partial,correct,wrong,A,厨房改直线柜台冰箱；原转角水池窗户和炉灶缺失
F048,C,partial,partial,correct,wrong,A,白柜冰箱取代窗边木柜炉灶；转角布局改变
F049,A,correct,correct,correct,partial,A,网球近身挥拍击球对应；人物侧背向且前景网带缺失
F049,B,correct,partial,correct,partial,A,持拍网球人物对应；击球伸臂变正面准备姿态
F050,A,correct,correct,partial,correct,B,列车向右侧面保留；机车变客车车头且站棚缺失
F050,B,correct,correct,correct,correct,B,棚下列车朝右对应；蓝黄机车变银色列车
F050,C,correct,correct,partial,partial,B,轨道列车保留；车头朝左且大站棚变建筑外墙
F051,A,partial,wrong,wrong,partial,all_wrong,屋顶弯腰整理帆具变室内坐着用电脑
F051,B,partial,wrong,wrong,partial,all_wrong,户外帆具操作变室内桌前操作多台显示器
F051,C,partial,wrong,wrong,partial,all_wrong,弯腰处理帆具变雪地坐桌前用笔记本
F052,A,wrong,partial,wrong,partial,all_wrong,雪山前牛变长颈鹿；雪峰全无且主体更高
F052,B,wrong,partial,wrong,partial,all_wrong,牛变远处长颈鹿；岩石雪山变草原丘陵
F052,C,wrong,wrong,wrong,wrong,all_wrong,只剩天空云层；牛及雪山地面缺失
F053,A,correct,wrong,wrong,wrong,B,草地吃东西的三儿童变雪地两儿童；餐盘缺失
F053,B,correct,partial,correct,partial,B,草地围食物合照对应；三儿童变两成人两儿童且增加圆桌
F053,C,correct,wrong,partial,partial,B,三人合照保留；变成人与两儿童且食物草地坐姿缺失
F054,A,partial,wrong,wrong,partial,all_wrong,雪靴旁双滑雪板变运动鞋踩木质器具；雪地消失
F054,B,wrong,wrong,wrong,wrong,all_wrong,俯视雪靴滑雪板变马桶近景
F055,A,wrong,partial,partial,wrong,all_wrong,河岸两只大象变斑马等多只动物；棕榈树林缺失
F056,A,correct,correct,partial,partial,A,持拍发球姿态对应；夜间灯光球场变白天观众赛场
F056,B,partial,wrong,wrong,wrong,A,网球场发球变海边风筝和水上运动
F056,C,partial,partial,partial,partial,A,举臂运动人物保留但上方物呈圆环；夜间网球场变白天草场
F057,A,correct,correct,correct,partial,A,单马桶保留；黄便器变白色且左水池窗户缺失
F057,B,correct,partial,correct,wrong,A,单马桶变并列大小两只；水池被挤掉且增加玩偶
F058,A,partial,wrong,wrong,partial,all_wrong,骑马者变双杖滑雪者；草地马匹缺失
F058,B,partial,wrong,wrong,partial,all_wrong,骑马变持大板跑动；草地跑道变硬地球场
F059,A,partial,wrong,partial,wrong,all_wrong,工厂戴发网两人交谈变家庭厨房看蛋糕电脑
F059,B,partial,wrong,partial,wrong,all_wrong,工业厨房人员变食物制作与电脑拼贴；站立交谈关系缺失
F059,C,partial,wrong,wrong,wrong,all_wrong,两名戴发网人员变餐桌单人电脑；工业设备消失
F060,A,partial,wrong,correct,partial,all_wrong,长面包夹通心粉薯条变炸物米粒与蔬菜；蘸料杯缺失
F060,B,partial,wrong,correct,partial,all_wrong,热狗形长面包和薯条变一碗米饭蔬菜
F060,C,partial,partial,correct,partial,all_wrong,面包配菜尚在但变开放奶酪蔬菜片；缺原通心粉长面包和薯条
F061,A,correct,correct,partial,correct,A,卧猫头朝镜头对应；黑猫变虎斑且绿色织物变白床单
F061,B,correct,partial,partial,partial,A,卧猫变抬头伸单爪；黑毛及绿色织物消失
F062,A,partial,wrong,wrong,wrong,all_wrong,棒球投手变两名网球选手；投掷手套动作缺失
F062,B,partial,wrong,wrong,partial,all_wrong,红衣棒球投球者变网球挥拍者；沙土投手丘缺失
F062,C,partial,wrong,partial,partial,all_wrong,跨步运动姿态相近但手套棒球变球拍；背景变观众网球场
F063,A,correct,partial,correct,partial,A,杂乱电脑桌对应；线缆纸张减少且增加两台打开的电脑和花瓶
F063,B,partial,partial,partial,partial,A,杂物台面保留但电脑和插座线缆变书药瓶与医疗物品
F063,C,wrong,wrong,partial,partial,A,办公线缆电脑桌变餐具药瓶桌面
F064,A,partial,wrong,partial,partial,all_wrong,生披萨面团变夹蔬菜三明治；增加手和切块配料
F064,B,wrong,wrong,partial,partial,all_wrong,撒奶酪面饼变砧板绿叶菜与手；圆面团缺失
F064,C,wrong,wrong,partial,wrong,all_wrong,生披萨变盘中叶菜与两块涂酱面包
F065,A,wrong,wrong,wrong,wrong,all_wrong,滑雪场器材架变机场飞机及围栏
F065,B,partial,wrong,correct,wrong,all_wrong,雪坡保留但前景滑雪板架和缆车站缺失；改大量路锥
F066,A,correct,partial,correct,partial,A,厨房白柜冰箱对应；柜顶锅和开放碗架缺失且取景更宽
F066,B,wrong,wrong,wrong,partial,A,厨房吊柜和锅具变卫生间洗手台镜子
F067,A,correct,partial,correct,partial,A,水面船与岸边树林对应；一排系泊船变中央单船
F067,B,correct,partial,partial,wrong,A,多艘岸边船变远处单帆船；河岸斜线布局缺失
F067,C,wrong,wrong,partial,wrong,A,河岸泊船变开阔水面风筝冲浪
F068,A,wrong,wrong,wrong,wrong,all_wrong,旧店门面自行车变室内浴室
F068,B,wrong,wrong,wrong,wrong,all_wrong,斑驳店门窗和自行车变白柜厨房
F068,C,wrong,wrong,wrong,wrong,all_wrong,街边店铺变整洁厨房；门外桌椅自行车消失
F069,A,wrong,partial,partial,wrong,all_wrong,林中单只大象变草坡两头牛；高草树干缺失
F069,B,wrong,partial,partial,correct,all_wrong,大象变小型黑色羊状动物；树林下草丛变修整草坡
F069,C,wrong,partial,partial,partial,all_wrong,大象变近处黑牛；密林灌木消失
F070,A,wrong,wrong,wrong,wrong,all_wrong,土路旁山羊变远处城市道路和大片天空
F070,B,wrong,wrong,wrong,wrong,all_wrong,土坡山羊变公交街景与风筝；动物缺失
F070,C,partial,partial,wrong,wrong,all_wrong,路旁多只山羊变街心单只深色有蹄动物；乡间土路变市区
F071,A,correct,partial,correct,partial,B,浴室水池镜子保留；长双盆台变圆盆并增加淋浴马桶
F071,B,correct,correct,correct,partial,B,镜下洗手柜关系对应；双盆长台变单盆木柜且增加窗户
F072,A,partial,wrong,partial,partial,all_wrong,双手举网球拍变低持棒球手套；暗围网变草地
F072,B,partial,wrong,partial,wrong,all_wrong,网球准备击打变举棒球；左下多出人物
F073,A,partial,wrong,wrong,partial,all_wrong,湿街行人持伞变雪道持杖者；近处右手雨伞缺失
F073,B,partial,wrong,wrong,partial,all_wrong,城市行人变雪场滑雪者；雨伞与车行道消失
F073,C,partial,wrong,wrong,partial,all_wrong,撑握收伞行人变雪地牵手步行者；城市背景缺失
F074,A,correct,partial,partial,partial,A,猫卧姿保留；网袋内黑白虎斑猫变蓝垫上棕猫且朝向反转
F074,B,wrong,wrong,wrong,wrong,A,网袋内单猫变水中两只犬状动物
F075,A,partial,wrong,partial,partial,all_wrong,水中长腿大嘴鸟变枝上短腿小鸟；涉水站立缺失
F075,B,partial,wrong,partial,partial,all_wrong,长腿涉水鸟变展翅短腿鸟；水面缺失
F075,C,partial,wrong,partial,partial,all_wrong,水中站鸟变石边飞起的短腿鸟；大嘴与长腿消失
F076,A,wrong,wrong,partial,wrong,all_wrong,披萨啤酒和画架变电脑与调料瓶
F076,B,wrong,wrong,wrong,wrong,all_wrong,画架前披萨桌变卫生间洗手台马桶
F077,A,correct,correct,correct,partial,A,飞行客机仰视对应；机头方向反转且机腹斜向构图减弱
F077,B,correct,correct,correct,partial,A,空中客机对应；改侧面放轮且机头朝左
F077,C,partial,correct,correct,partial,A,喷气客机变螺旋桨飞机；仰视机腹变横向侧面
F078,A,correct,partial,partial,partial,A,蜷卧猫保留；橘猫条纹椅变黑白猫卧在白垫木椅
F078,B,correct,wrong,wrong,partial,A,椅上蜷卧橘猫变洗手池边坐立黑白猫
F079,A,partial,wrong,partial,wrong,all_wrong,烘焙原料和搅拌器变餐桌面包沙拉与文件
F079,B,partial,wrong,partial,wrong,all_wrong,香蕉面粉黄油与搅拌碗变水果碗和夹馅面包
F079,C,partial,wrong,partial,wrong,all_wrong,烘焙配料摆台变熟菜饮料餐桌；打蛋器香蕉缺失
F080,A,correct,partial,correct,partial,A,海浪冲浪保留；一个浪上主角变三名近处冲浪者
F080,B,correct,partial,correct,partial,A,冲浪者仍在海上；大浪卷曲动作变小浪站立且人群减少
F081,A,wrong,partial,partial,wrong,all_wrong,单只长颈鹿变两匹斑马；旱地树丛变绿草地
F081,B,wrong,wrong,wrong,wrong,all_wrong,长颈鹿与灌木变建筑及高塔
F082,A,partial,wrong,partial,wrong,all_wrong,持相机展示彩带变双手持香蕉；相机胸前带缺失
F082,B,partial,wrong,partial,partial,all_wrong,自拍相机与彩带变男子举香蕉状物操作
F083,A,wrong,wrong,wrong,wrong,all_wrong,围栏内羊变车窗边人抱小熊状动物
F083,B,wrong,wrong,wrong,wrong,all_wrong,羊与饲槽铁丝网变街边店铺桌椅人群
F083,C,wrong,wrong,wrong,wrong,all_wrong,草地围栏羊变建筑窗边人物和墙面文字
F084,A,correct,partial,partial,partial,A,轨道车辆保留；站棚下红车变街面黄车正面且钟表显示牌缺失
F084,B,partial,wrong,wrong,partial,A,站台列车变道路双层公交；站钟和列车侧面消失
F085,A,correct,correct,partial,partial,A;B,手持夹馅面包对应；炸馅变切片肉且纸托蘸料布局改变
F085,B,correct,correct,partial,partial,A;B,手托长面包对应；炸物变肉片奶酪且纸盒变小盘
F085,C,correct,correct,wrong,partial,A;B,手持夹肉面包保留；馅料不同且背景变马桶
F086,A,partial,wrong,partial,partial,all_wrong,摊前咬甜甜圈变男子手持细物靠下巴；另手出现球拍
F086,B,partial,wrong,partial,partial,all_wrong,咬环形点心变持白色细物贴嘴；帽子红外套与摊位缺失
F087,A,partial,wrong,correct,partial,all_wrong,餐桌旁打电话变拿勺靠嘴；手机耳边关系消失
F087,B,partial,wrong,partial,partial,all_wrong,手机贴耳变双手握小物在胸前；具体小物难辨
F087,C,partial,wrong,partial,wrong,all_wrong,打电话变把白色物送入口中；新增右前景人物
F088,A,correct,correct,partial,correct,A,户外衬衫领带男子半身对应；吊带胡须缺失且花树变活动场地
F088,B,correct,correct,partial,correct,A,领带男子正面对应；增加西装眼镜且缺吊带与近处花树
F088,C,correct,correct,partial,correct,A,户外男子保留；衬衫吊带变红外套且背景变停车草场
F089,A,partial,partial,wrong,partial,all_wrong,举臂向上动作相似但球拍缺失且多个空中物；室内球馆变户外
F089,B,partial,wrong,wrong,wrong,all_wrong,室内挥拍击球变天空下抛飞盘；仅下缘局部人物
F090,A,partial,wrong,partial,wrong,all_wrong,飞盘高尔夫链篮变蓝柱；人物被裁且飞盘缺失
F090,B,partial,wrong,partial,partial,all_wrong,链篮变蓝色柱且飞盘变黄球；林间投盘关系消失
F090,C,partial,partial,partial,wrong,all_wrong,人物与红飞盘保留；链篮目标缺失并混入网球
F091,A,wrong,wrong,wrong,wrong,all_wrong,河边列车变空中飞机
F091,B,wrong,wrong,wrong,wrong,all_wrong,铁路电车与河堤变飞行客机
F091,C,wrong,wrong,wrong,wrong,all_wrong,地面列车变单只天空风筝
F092,A,partial,wrong,partial,wrong,B,破旧马桶隔间变带床和水池房间；主体马桶缺失
F092,B,correct,correct,correct,partial,B,旧浴室单马桶对应；裸管破墙布局改变且增加右侧洁具
F092,C,correct,partial,partial,partial,B,马桶变远处小物且洗手台主导；脏破隔间变整洁浴室
F093,A,partial,wrong,wrong,partial,all_wrong,水面鸟变草地鸟；水中倒影和中央位置丢失
F093,B,wrong,wrong,wrong,partial,all_wrong,水面鸟变草地低头有蹄动物
F094,A,correct,partial,correct,partial,C,马桶保留但变侧面合盖；木座圈与水箱上两卷纸缺失
F094,B,partial,wrong,correct,partial,C,木圈马桶变壁挂小便池状洁具；两卷纸缺失
F094,C,correct,partial,correct,correct,C,正面开盖马桶对应；木座圈变白色且两卷纸改侧壁单卷
F095,A,correct,partial,correct,partial,A,持拍击球对应；腾空收拍变分腿落地低挥拍
F095,B,correct,partial,correct,partial,A,球场持拍者保留；跳起挥拍变静态准备姿势
F096,A,wrong,wrong,wrong,wrong,all_wrong,窗前橘猫变树间长颈鹿；桌瓶缺失
F096,B,wrong,wrong,wrong,wrong,all_wrong,室内单猫变草地两只熊状动物与远处动物
F096,C,wrong,wrong,wrong,wrong,all_wrong,桌上橘猫变户外两只犬熊状动物
F097,A,correct,partial,wrong,partial,A,单板腾空对应；城市栏杆障碍与观众变树林雪坡
F097,B,correct,partial,wrong,partial,A,单板运动保留但沿栏杆动作变雪坡侧滑；城市建筑缺失
F098,A,wrong,wrong,partial,wrong,all_wrong,树上成串香蕉变绿化旁消防栓
F098,B,wrong,wrong,partial,wrong,all_wrong,香蕉串变电线杆及红色悬挂物
F099,A,correct,partial,wrong,partial,B,黄色机车变室内陈列流线列车；露天轨道电网缺失
F099,B,correct,correct,correct,partial,B,露天电线下黄头列车对应；车头朝向和车身车型不同
F099,C,correct,correct,correct,partial,B,轨道列车保留；黄绿机车变蓝色客车且方向反转
F100,A,wrong,wrong,wrong,wrong,all_wrong,叼飞盘狗变公路公交车与人物
F100,B,correct,partial,wrong,partial,all_wrong,狗跃起保留但嘴中飞盘缺失；草场变桥下道路
F100,C,wrong,wrong,wrong,wrong,all_wrong,草地叼盘狗变路上飞机
F101,A,partial,wrong,wrong,wrong,B,狭街行人小车变棚下公交站；斑马线横穿关系缺失
F101,B,correct,partial,correct,partial,B,建筑间街道行人自行车对应；前景横穿人物和停放汽车消失
F102,A,wrong,partial,partial,partial,all_wrong,北极熊咬袋玩球变穿衣狗趴板；黄绿球缺失
F102,B,wrong,partial,partial,partial,all_wrong,北极熊变救生衣狗咬细长物；水中两球缺失
F102,C,wrong,partial,correct,partial,all_wrong,白熊变黑狗与彩色圆浮具；咬灰袋和两球关系不同
F103,A,wrong,wrong,wrong,wrong,all_wrong,铁床卧室变浴缸马桶洗手柜
F103,B,wrong,wrong,wrong,wrong,all_wrong,床和床边电脑变两处浴缸设施
F104,A,partial,partial,wrong,partial,all_wrong,红色冰原巴士变蓝黄色小型车；登车阶梯与雪地缺失
F104,B,partial,wrong,wrong,partial,all_wrong,冰原高轮车辆变普通城市公交；登车游客消失
F105,A,wrong,wrong,partial,partial,all_wrong,咖啡配蛋糕浆果变夹肉面包与果汁
F105,B,wrong,wrong,partial,partial,all_wrong,蛋糕奶泡咖啡变肉三明治与琥珀饮料
F105,C,wrong,wrong,partial,partial,all_wrong,甜点咖啡变长面包肉奶酪与沙拉；莓果缺失
F106,A,correct,partial,wrong,partial,A,空中风筝保留；海滩水上运动变草场单人放普通风筝
F106,B,correct,partial,wrong,partial,A,牵引风筝保留；海滩变山地两人放飞且增加风筝
F106,C,correct,partial,wrong,partial,A,天空风筝保留但变多只长尾风筝；海滩水面变山地
F107,A,partial,uncertain,uncertain,partial,all_wrong,红条纹颈巾变彩色布料和圆扣状物；人物及佩戴关系无法确认
F107,B,wrong,wrong,wrong,wrong,all_wrong,人物颈巾近景变花朵装饰瓶和蓝袋
F108,A,wrong,wrong,wrong,partial,all_wrong,撑伞男子变户外猫犬混合状动物；伞与领带缺失
F108,B,correct,wrong,partial,partial,all_wrong,伞下男子变晴天街上女子；伞及持伞动作缺失
F108,C,wrong,wrong,wrong,partial,all_wrong,伞下男子变人行道黑棕狗
F109,A,correct,wrong,partial,partial,B,水边客机保留但侧面停跑道变正面低空飞行
F109,B,correct,partial,partial,correct,B,客机朝左侧面对应；地面滑行变远处空中飞行且跑道缺失
F109,C,correct,wrong,partial,partial,B,水边客机变正面迎来飞行；原侧面跑道布局消失
F110,A,partial,partial,wrong,wrong,all_wrong,夜间女子操作石台屏幕变白天车旁笔记本；主体人物被裁
F110,B,partial,partial,wrong,partial,all_wrong,手操作屏幕相近；石台终端变车窗处电脑且夜景消失
F110,C,partial,wrong,wrong,wrong,all_wrong,石台操作人物缺失；变露天桌上笔记本和红杯
F111,A,correct,correct,partial,partial,A,两只长颈鹿前后重叠对应；近处朝向变化且横树枝缺失
F111,B,correct,partial,partial,partial,A,两长颈鹿保留但多出斑马；头部截断且身体布局不同
F112,A,wrong,wrong,partial,partial,all_wrong,门后自行车与挂袋变窄室椅子窗帘；自行车缺失
F112,B,wrong,wrong,partial,wrong,all_wrong,门口自行车变窗边洗手桌与墙上设备
F113,A,partial,partial,correct,wrong,A,小浴室马桶保留；浴缸花帘和水池缺失
